movie_title,release_date,wikipedia_url,genre,director_1,director_2,cast_1,cast_2,cast_3,cast_4,cast_5,budget,revenue
The Lucky One,2012-04-20,https://en.wikipedia.org/wiki/The_Lucky_One_(film),Drama,Scott Hicks,N/A,Zac Efron,Taylor Schilling,Jay R. Ferguson,Riley Thomas Stewart,Adam Lefevre,25000000.0,99400000.0
The Man from U.N.C.L.E.,2015-08-07,https://en.wikipedia.org/wiki/The_Man_from_U.N.C.L.E._(film),Action,Guy Ritchie,N/A,Henry Cavill,Armie Hammer,Elizabeth Debicki,Alicia Vikander,Hugh Grant,75000000.0,109800000.0
The Man with the Iron Fists,2012-11-02,https://en.wikipedia.org/wiki/The_Man_with_the_Iron_Fists,Action,RZA,N/A,Russell Crowe,Lucy Liu,David Bautista,RZA,Byron Mann,20000000.0,20300000.0
The Martian,2015-09-11,https://en.wikipedia.org/wiki/The_Martian_(film),Sci-Fi,Ridley Scott,N/A,Matt Damon,Jeff Daniels,Kristen Wiig,Sean Bean,Jessica Chastain,108000000.0,630200000.0
The Master,2012-09-14,https://en.wikipedia.org/wiki/The_Master_(2012_film),Drama,Paul Thomas Anderson,N/A,Philip Seymour Hoffman,Joaquin Phoenix,Jesse Plemons,David Warshofsky,Amy Adams,32000000.0,28300000.0
The Maze Runner,2014-09-19,https://en.wikipedia.org/wiki/The_Maze_Runner_(film),Sci-Fi,Wes Ball,N/A,Dylan O'Brien,Will Poulter,Thomas Sangster,Aml Ameen,Kaya Scodelario,34000000.0,348300000.0
The Mermaid,2016-02-08,https://en.wikipedia.org/wiki/The_Mermaid_(2016_film),Sci-Fi,Stephen Chow,N/A,Deng Chao,Lin Yun,Show Luo,Zhang Yuqi,Kris Wu,60720000.0,553800000.0
The Monuments Men,2014-02-07,https://en.wikipedia.org/wiki/The_Monuments_Men,Drama,George Clooney,N/A,George Clooney,Matt Damon,Bill Murray,John Goodman,Jean Dujardin,70000000.0,155000000.0
The Mortal Instruments: City of Bones,2013-08-21,https://en.wikipedia.org/wiki/The_Mortal_Instruments:_City_of_Bones,Action,Harald Zwart,N/A,Lily Collins,Jamie Campbell Bower,Robert Sheehan,Jemima West,Kevin Durand,60000000.0,90600000.0
The Night Before,2015-11-20,https://en.wikipedia.org/wiki/The_Night_Before_(2015_film),Comedy,Jonathan Levine,N/A,Joseph Gordon-Levitt,Seth Rogen,Anthony Mackie,N/A,N/A,25000000.0,52400000.0
The November Man,2014-08-27,https://en.wikipedia.org/wiki/The_November_Man,Thriller,Roger Donaldson,N/A,Pierce Brosnan,Olga Kurylenko,Luke Bracey,Bill Smitrovich,Will Patton,15000000.0,34800000.0
The Nut Job,2014-01-11,https://en.wikipedia.org/wiki/The_Nut_Job,Family,Peter Lepeniotis,N/A,Will Arnett,Katherine Heigl,Liam Neeson,Brendan Fraser,Gabriel Iglesias,42800000.0,120900000.0
The Oogieloves in the Big Balloon Adventure,2012-08-29,https://en.wikipedia.org/wiki/The_Oogieloves_in_the_Big_Balloon_Adventure,Family,Matthew Diamond,N/A,Toni Braxton,Cloris Leachman,Christopher Lloyd,Chazz Palminteri,Cary Elwes,20000000.0,1100000.0
The Other Woman,2014-03-31,https://en.wikipedia.org/wiki/The_Other_Woman_(2014_film),Comedy,Nick Cassavetes,N/A,Cameron Diaz,Leslie Mann,Kate Upton,Nikolaj Coster-Waldau,Taylor Kinney,40000000.0,196700000.0
The Peanuts Movie,2015-11-01,https://en.wikipedia.org/wiki/The_Peanuts_Movie,Animation,Steve Martino,N/A,Bill Melendez,Noah Schnapp,Hadley Belle Miller,AJ Teece,Noah Johnston,99000000.0,246200000.0
The Perfect Guy,2015-09-02,https://en.wikipedia.org/wiki/The_Perfect_Guy_(2015_film),Thriller,David M. Rosenthal,N/A,Sanaa Lathan,Michael Ealy,Morris Chestnut,N/A,N/A,18000000.0,60300000.0
The Perfect Match,2016-03-11,https://en.wikipedia.org/wiki/The_Perfect_Match_(2016_film),Romance,Bille Woodruff,N/A,Terrence J,Cassie Ventura,Donald Faison,Dascha Polanco,Robert Christopher Riley,5000000.0,10400000.0
The Perks of Being a Wallflower,2012-09-21,https://en.wikipedia.org/wiki/The_Perks_of_Being_a_Wallflower_(film),Drama,Stephen Chbosky,N/A,Emma Watson,Logan Lerman,Mae Whitman,Nina Dobrev,Johnny Simmons,13000000.0,33400000.0
The Pirates! Band of Misfits,2012-04-27,https://en.wikipedia.org/wiki/The_Pirates!_In_an_Adventure_with_Scientists_(film),Comedy,Peter Lord,Jeff Newitt,Hugh Grant,Salma Hayek,Jeremy Piven,Imelda Staunton,David Tennant,55000000.0,123000000.0
The Place Beyond the Pines,2013-03-29,https://en.wikipedia.org/wiki/The_Place_Beyond_the_Pines,Crime,Derek Cianfrance,N/A,Ryan Gosling,Bradley Cooper,Rose Byrne,Eva Mendes,Ray Liotta,15000000.0,47000000.0
The Possession,2012-08-31,https://en.wikipedia.org/wiki/The_Possession_(2012_film),Horror,Ole Bornedal,N/A,Jeffrey Dean Morgan,Kyra Sedgwick,N/A,N/A,N/A,14000000.0,78500000.0
The Purge,2013-05-31,https://en.wikipedia.org/wiki/The_Purge,Sci-Fi,James DeMonaco,N/A,Ethan Hawke,Lena Headey,Max Burkholder,Tony Oller,Edwin Hodge,3000000.0,89300000.0
The Purge: Election Year,2016-07-01,https://en.wikipedia.org/wiki/The_Purge:_Election_Year,Horror,James DeMonaco,N/A,Frank Grillo,Betty Gabriel,Edwin Hodge,Kyle Secor,Joseph Julian Soria,10000000.0,105600000.0
The Raid 2,2014-01-21,https://en.wikipedia.org/wiki/The_Raid_2,Action,Gareth Evans,N/A,Iko Uwais,Tio Pakusadewo,Arifin Putra,Julie Estelle,Alex Abbad,4500000.0,6600000.0
The Raid: Redemption ₪,2012-03-23,https://en.wikipedia.org/wiki/The_Raid:_Redemption,Action,Gareth Evans,N/A,Iko Uwais,Doni Alamsyah,Joe Taslim,Yayan Ruhian,Ray Sahetapy,1100000.0,9140000.0
The Raven,2012-04-27,https://en.wikipedia.org/wiki/The_Raven_(2012_film),Thriller,James McTeigue,N/A,John Cusack,Alice Eve,Luke Evans,Brendan Gleeson,Oliver Jackson-Cohen,26000000.0,29700000.0
The Revenant,2015-12-25,https://en.wikipedia.org/wiki/The_Revenant_(2015_film),Thriller,Alejandro G. Iñárritu,N/A,Leonardo DiCaprio,Tom Hardy,Domhnall Gleeson,Will Poulter,N/A,135000000.0,533000000.0
The Second Best Exotic Marigold Hotel,2015-02-26,https://en.wikipedia.org/wiki/The_Second_Best_Exotic_Marigold_Hotel,Comedy,John Madden,N/A,Judi Dench,Bill Nighy,Maggie Smith,Richard Gere,Celia Imrie,10000000.0,86000000.0
The Second Mother,2015-01-25,https://en.wikipedia.org/wiki/The_Second_Mother_(2015_film),Drama,Anna Muylaert,N/A,Regina Casé,Michel Joelsas,Camila Márdila,N/A,N/A,4000000.0,6200000.0
The Secret Life of Pets,2016-07-08,https://en.wikipedia.org/wiki/The_Secret_Life_of_Pets,Adventure,Chris Renaud,Yarrow Cheney,Louis C.K.,Eric Stonestreet,Kevin Hart,Albert Brooks,Hannibal Buress,75000000.0,724900000.0
The Secret World of Arrietty,2012-02-17,https://en.wikipedia.org/wiki/Arrietty,Adventure,Gary Rydstrom,N/A,Will Arnett,Amy Poehler,Carol Burnett,Bridgit Mendler,David Henrie,23000000.0,145600000.0
The Shallows,2016-06-21,https://en.wikipedia.org/wiki/The_Shallows_(film),Horror,Jaume Collet-Serra,N/A,Blake Lively,Óscar Jaenada,N/A,N/A,N/A,17000000.0,93200000.0
